姓名,工号,招生方向,方向审核人,照片下载地址,排序
王鹏新,3100,计算机学科方向二,1,http://ciee.cau.edu.cn/picture/0/a2fe0d486c2c4e97a0fac50912e99d6e.jpg,62
穆维松,96510,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/7b/8c/d76b9d144d8b97e66fd0b37d00c5/64e11309-abfa-4397-86d4-62391ff8036c_s.jpg,63
张领先,6047,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/71/8c/787fc2cd454d87649cbfd4433502/353da993-bd9c-4b90-a64c-31bc1d44e7ab_s.jpg,64
吴才聪,201284,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/5d/71/517f51324f8a8c4bb0094728f24a/e861ee59-773d-4a9e-ad0f-b18a48fd2c56_s.jpg,65
叶昕,2022092,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/40/c5/a706462e45a880fa6eea484904f9/a63a758e-eb2f-438c-9e22-b95c29aa2a90_s.jpg,74
梅树立,4045,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/8b/42/4f1727034d87b87e92e42faba9b1/af04e209-7479-424a-b166-d1eb2de678da_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s.jpg,66
肖东亮,7061,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/00/76/e6f5dfa9401d941e1901ff2d3294/0f628264-1928-4c04-9f86-47795c75aba0_s.jpg,67
李鑫星,201240,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/c2/3a/f94c813d40039a71ae87969ec139/04b7a0df-e0bb-4a7b-87fc-7eadd8b1c6dd_s.jpg,68
刘雪,2524,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/5d/dc/57a58c434d159bbe2bfad3f48cb3/cc79e63a-9ffb-4b39-8ac2-bc51fc95656c_s.jpg,69
张杰,2021066,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/96/26/fa0a14154817b8d7cf5699cbe1d7/203831a5-5c25-4d14-9573-578a5805fb17_s.jpg,70
刘云玲,97527,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/bc/8f/8dc5ab9e43fe9ee1179992e97e2d/80c66a63-112e-4b36-a048-3ae5d94a7d65_s.jpg,71
王海华,3062,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/7b/b2/c060a36c42db9f8a047e8c81b624/25aac8b4-22d2-4ff0-92a0-c20fcd0e584b_s.jpg,72
翟卫欣,2020121,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/75/10/04da9cba4f568b12b95dd0cb05ad/201c36f7-72f6-4ded-8893-9ea8014c0c15_s.jpg,73
杨丽丽,98523,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/f0/59/05f532d343cd8abd01234a458ef4/bb7d7ff7-69be-4920-b787-2dbdf6abc726_s.jpg,75
冯建英,201333,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/d4/11/cd3f03a94378b07c437edc9c49db/5cb5daeb-102b-4d7e-9c5c-b0bcd8d87378_s.png,76
田东,1504,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/8f/2f/77af4e3c4b9f81ec3287aca5ffe4/fdc6962d-4252-41dc-9cd8-2384a259ed80_s.png,77
王心悦,2014016,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/b5/6a/7de8dab5467192dc09fffef8135a/a3eb81c3-8563-407d-bd58-178a745e5625_s.jpg,78
袁钢,523,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/f5/6b/386f0cd0483e9bd7556cf20c0255/c926e686-a8c9-4e76-b43b-3585114870c1_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s_s.jpg,79
陈瑛,201019,计算机学科方向二,0,http://faculty.cau.edu.cn/_upload/article/images/55/3b/55bea6764e5a857a7eea832d6d65/8eb806a1-6bd2-4790-94e1-f5428c93ab53_s.jpg,80
